TransactionID,CustomerID,StoreLocation,ProductCategory,ProductID,Quantity,UnitPrice,TransactionDate,PaymentMethod,DiscountApplied,CustomerSatisfaction,TotalPrice
1,1399,City Centre,Other,687,9,447.54,2023-10-29,Credit Card,Yes,1,4027.86
2,1326,Rural,Electronics,436,9,208.52,2023-08-15,Credit Card,No,5,1876.68
3,1517,Suburban,Electronics,137,1,139.17,2023-11-25,Debit Card,No,5,139.17
4,1740,Suburban,Other,370,9,450.57,2023-06-24,Cash,Yes,3,4055.13
5,1587,Rural,Clothing,690,9,339.7,2023-04-04,Credit Card,Yes,1,3057.3
6,1849,Suburban,Grocery,235,1,252.19,2024-07-18,Credit Card,No,5,252.19
7,1692,Suburban,Clothing,206,1,54.51,2023-06-29,Debit Card,No,5,54.51
8,1643,Rural,Other,181,10,289.86,2024-06-17,Cash,Yes,4,2898.6
9,1855,City Centre,Electronics,247,5,353.49,2023-03-04,Cash,No,2,1767.45
10,1041,City Centre,Grocery,124,2,154.96,2023-08-09,Debit Card,Yes,1,309.92
11,1476,Suburban,Electronics,425,10,451.08,2023-01-14,Credit Card,Yes,1,4510.8
12,1962,Rural,Other,418,9,169.84,2022-12-06,Cash,No,1,1528.56
13,1995,Suburban,Grocery,626,9,176.51,2023-02-19,Debit Card,No,3,1588.59
14,1207,Rural,Clothing,159,10,172.64,2023-10-01,Cash,Yes,4,1726.4
15,1465,Rural,Electronics,564,4,303.37,2023-10-14,Mobile Payment,No,4,1213.48
16,1980,Rural,Clothing,667,2,286.45,2024-01-22,Credit Card,Yes,2,572.9
17,1420,Rural,Electronics,665,1,487.11,2022-11-20,Debit Card,Yes,4,487.11
18,1083,Rural,Clothing,565,6,6.38,2023-12-18,Mobile Payment,No,3,38.28
19,1149,Suburban,Grocery,191,3,411.84,2023-07-04,Debit Card,Yes,3,1235.52
20,1233,Rural,Grocery,743,4,96.4,2024-03-10,Cash,No,3,385.6
21,1325,Suburban,Grocery,405,2,114.34,2023-01-06,Mobile Payment,No,5,228.68
22,1918,Suburban,Grocery,760,8,247.06,2024-08-14,Debit Card,Yes,5,1976.48
23,1071,City Centre,Grocery,923,10,206.31,2023-05-09,Mobile Payment,No,5,2063.1
24,1536,City Centre,Home Goods,832,5,308.67,2024-03-15,Credit Card,Yes,4,1543.35
25,1522,City Centre,Other,336,10,306.44,2024-05-07,Cash,Yes,1,3064.4
26,1459,Suburban,Clothing,275,7,302.23,2023-10-22,Credit Card,Yes,3,2115.61
27,1676,Suburban,Home Goods,251,3,138.49,2024-04-07,Debit Card,No,2,415.47
28,1670,City Centre,Electronics,525,10,331.8,2024-05-09,Credit Card,Yes,1,3318.0
29,1924,Rural,Other,118,2,36.1,2024-01-07,Mobile Payment,Yes,4,72.2
30,1187,Suburban,Electronics,854,2,55.33,2023-06-12,Credit Card,No,5,110.66
31,1871,City Centre,Home Goods,545,1,152.04,2023-06-25,Credit Card,No,4,152.04
32,1913,Rural,Grocery,937,6,330.29,2023-05-20,Debit Card,Yes,2,1981.74
33,1894,Suburban,Grocery,509,5,480.01,2022-12-20,Cash,Yes,1,2400.05
34,1279,Suburban,Grocery,882,2,404.08,2024-08-04,Mobile Payment,No,2,808.16
35,1062,City Centre,Grocery,604,5,337.39,2024-05-04,Mobile Payment,Yes,2,1686.95
36,1132,Rural,Other,878,2,306.74,2024-08-23,Credit Card,No,1,613.48
37,1543,Suburban,Electronics,766,5,186.93,2023-08-21,Debit Card,Yes,1,934.65
38,1177,Suburban,Home Goods,877,6,226.6,2024-04-24,Mobile Payment,No,3,1359.6
39,1287,Rural,Clothing,799,2,330.97,2024-09-04,Cash,No,5,661.94
40,1716,Suburban,Electronics,607,2,327.37,2023-04-24,Debit Card,No,1,654.74
41,1310,City Centre,Home Goods,331,7,143.13,2023-06-16,Debit Card,No,5,1001.91
42,1600,City Centre,Clothing,128,10,68.01,2024-08-06,Mobile Payment,No,5,680.1
43,1228,City Centre,Clothing,135,5,20.11,2023-07-12,Mobile Payment,Yes,3,100.55
44,1269,Rural,Electronics,291,2,484.63,2024-04-19,Mobile Payment,Yes,5,969.26
45,1570,Rural,Home Goods,554,2,339.77,2023-01-06,Credit Card,No,2,679.54
46,1911,Rural,Grocery,468,8,219.34,2023-10-11,Cash,Yes,1,1754.72
47,1684,Rural,Other,398,8,364.64,2024-02-16,Debit Card,No,2,2917.12
48,1734,Rural,Home Goods,415,5,367.02,2023-12-05,Debit Card,Yes,4,1835.1
49,1819,Rural,Home Goods,488,3,328.92,2024-04-27,Cash,No,1,986.76
50,1008,City Centre,Other,754,7,104.57,2024-06-23,Cash,No,2,731.99
51,1157,City Centre,Electronics,282,5,165.94,2023-04-09,Cash,Yes,5,829.7
52,1764,Rural,Other,589,6,14.94,2023-06-15,Credit Card,Yes,4,89.64
53,1776,Rural,Home Goods,488,10,7.16,2023-05-29,Debit Card,Yes,1,71.6
54,1415,Rural,Grocery,872,4,226.77,2023-08-24,Debit Card,Yes,2,907.08
55,1297,City Centre,Other,361,4,88.1,2024-04-21,Debit Card,No,4,352.4
56,1915,Suburban,Electronics,114,9,217.28,2022-12-10,Debit Card,No,2,1955.52
57,1886,Rural,Other,555,6,160.84,2024-03-08,Cash,Yes,1,965.04
58,1417,Rural,Other,272,9,236.15,2024-03-11,Mobile Payment,Yes,1,2125.35
59,1079,Suburban,Home Goods,989,5,315.14,2023-03-15,Credit Card,No,2,1575.7
60,1934,City Centre,Home Goods,451,9,19.12,2024-05-08,Debit Card,Yes,5,172.08
61,1006,Rural,Grocery,510,1,105.37,2024-08-29,Debit Card,No,3,105.37
62,1483,Rural,Grocery,531,1,499.22,2023-07-25,Mobile Payment,No,4,499.22
63,1854,City Centre,Grocery,230,2,479.75,2024-10-14,Debit Card,Yes,2,959.5
64,1421,Suburban,Other,968,4,53.22,2024-06-27,Debit Card,Yes,5,212.88
65,1272,Suburban,Clothing,657,10,447.12,2024-06-03,Cash,No,1,4471.2
66,1661,Suburban,Grocery,426,10,351.8,2023-01-19,Mobile Payment,Yes,4,3518.0
67,1095,Suburban,Home Goods,422,3,146.64,2024-01-15,Debit Card,No,5,439.92
68,1686,Rural,Other,135,1,457.51,2023-01-20,Credit Card,No,4,457.51
69,1117,City Centre,Electronics,287,4,491.63,2023-09-13,Mobile Payment,Yes,2,1966.52
70,1413,City Centre,Other,145,3,391.66,2023-09-02,Mobile Payment,Yes,4,1174.98
71,1289,City Centre,Electronics,851,2,221.64,2023-10-08,Mobile Payment,Yes,3,443.28
72,1481,Suburban,Electronics,756,3,170.86,2023-08-09,Debit Card,Yes,4,512.58
73,1935,Suburban,Clothing,458,5,189.8,2023-04-11,Cash,No,1,949.0
74,1601,Suburban,Other,242,4,91.04,2023-07-05,Mobile Payment,Yes,3,364.16
75,1743,Suburban,Grocery,665,3,73.63,2024-07-03,Credit Card,Yes,4,220.89
76,1638,Suburban,Clothing,165,3,426.53,2024-06-23,Cash,No,2,1279.59
77,1698,City Centre,Grocery,250,2,142.19,2024-05-18,Credit Card,Yes,3,284.38
78,1894,Rural,Home Goods,405,6,315.22,2023-10-16,Mobile Payment,No,2,1891.32
79,1637,City Centre,Home Goods,941,7,329.63,2024-09-19,Mobile Payment,No,5,2307.41
80,1156,Suburban,Electronics,707,10,211.77,2023-05-14,Cash,No,4,2117.7
81,1686,City Centre,Grocery,903,2,278.65,2023-12-21,Cash,No,2,557.3
82,1692,Rural,Electronics,825,2,492.69,2024-04-26,Credit Card,No,4,985.38
83,1527,Rural,Electronics,186,2,396.88,2022-11-21,Cash,No,4,793.76
84,1921,Rural,Home Goods,191,6,185.81,2023-09-28,Cash,No,2,1114.86
85,1060,City Centre,Other,242,10,245.17,2023-02-17,Mobile Payment,Yes,3,2451.7
86,1321,City Centre,Electronics,899,4,53.2,2024-02-15,Mobile Payment,Yes,3,212.8
87,1413,Suburban,Electronics,384,6,79.43,2022-11-12,Credit Card,No,2,476.58
88,1411,City Centre,Home Goods,911,4,419.96,2024-02-15,Cash,No,4,1679.84
89,1297,Rural,Grocery,291,5,246.38,2023-07-24,Debit Card,Yes,2,1231.9
90,1255,Rural,Grocery,446,4,428.57,2022-11-19,Mobile Payment,Yes,2,1714.28
91,1310,Rural,Home Goods,957,4,359.53,2023-10-12,Debit Card,Yes,2,1438.12
92,1328,Suburban,Clothing,599,5,349.04,2023-01-21,Credit Card,Yes,3,1745.2
93,1366,Suburban,Home Goods,792,2,180.13,2024-09-12,Credit Card,No,1,360.26
94,1596,Suburban,Clothing,535,2,447.22,2023-09-16,Mobile Payment,Yes,4,894.44
95,1116,Rural,Other,949,10,233.67,2024-10-02,Credit Card,Yes,5,2336.7
96,1890,Rural,Clothing,923,9,114.43,2024-02-22,Cash,Yes,3,1029.87
97,1402,City Centre,Clothing,243,2,300.34,2023-04-29,Mobile Payment,No,3,600.68
98,1461,Rural,Other,207,6,470.23,2023-11-18,Credit Card,No,2,2821.38
99,1303,Rural,Home Goods,345,4,114.71,2023-08-29,Credit Card,Yes,5,458.84
100,1647,Suburban,Grocery,473,7,253.16,2024-10-30,Mobile Payment,Yes,3,1772.12
101,1311,Rural,Grocery,516,7,280.85,2024-03-30,Cash,No,2,1965.95
102,1372,City Centre,Clothing,632,4,136.21,2023-12-06,Mobile Payment,Yes,4,544.84
103,1581,Rural,Grocery,476,4,137.61,2023-07-18,Debit Card,Yes,3,550.44
104,1557,Suburban,Home Goods,713,3,89.52,2023-07-30,Mobile Payment,No,4,268.56
105,1656,City Centre,Electronics,518,4,383.85,2023-12-23,Debit Card,No,2,1535.4
106,1600,Suburban,Other,869,8,356.02,2024-09-27,Cash,No,3,2848.16
107,1833,Rural,Other,699,2,280.59,2023-11-29,Credit Card,Yes,1,561.18
108,1379,Rural,Home Goods,756,1,213.83,2024-05-24,Debit Card,No,4,213.83
109,1425,Rural,Other,107,8,212.78,2023-06-21,Debit Card,No,5,1702.24
110,1752,City Centre,Home Goods,928,1,263.02,2023-07-18,Cash,No,3,263.02
111,1544,City Centre,Home Goods,989,10,228.86,2023-10-09,Cash,Yes,1,2288.6
